File::HomeDir::BEGIN@5	href=File-HomeDir-pm-632-line.html#5
PPI::Element::top	href=PPI-Element-pm-61-line.html#304
PPI::Token::Whitespace::BEGIN@48	href=PPI-Token-Whitespace-pm-76-line.html#48
Encode::Alias::CORE:regcomp	href=Encode-Alias-pm-38-line.html#Encode__Alias__CORE_regcomp
Module::Pluggable::__ANON__[/Users/timbo/perl5/perlbrew/perls/perl-5.18.2/lib/site_perl/5.18.2/Module/Pluggable.pm:32]	href=Module-Pluggable-pm-189-line.html#32
PPI::Statement::End::BEGIN@50	href=PPI-Statement-End-pm-433-line.html#50
Perl::Critic::Policy::NamingConventions::Capitalization::BEGIN@14	href=Perl-Capitalization-pm-425-line.html#14
File::Which::BEGIN@6	href=File-Which-pm-633-line.html#6
PPI::Node::__ANON__[(eval 1243)[/Users/timbo/perl5/perlbrew/perls/perl-5.18.2/lib/site_perl/5.18.2/PPI/Node.pm:654]:4]	href=(eval 464)[PPI-Node-pm-654]-950-line.html#1
charnames::BEGIN@394	href=unicore-Name-pm-722-line.html#394
PPIx::Regexp::Token::Backtrack::__PPIX_TOKEN__recognize	href=PPIx-Regexp-Token-Backtrack-pm-873-line.html#51
Carp::BEGIN@73	href=Carp-pm-26-line.html#73
Perl::Critic::UserProfile::BEGIN@18	href=Perl-Critic-UserProfile-pm-802-line.html#18
PPI::Token::Quote::BEGIN@48	href=PPI-Token-Quote-pm-57-line.html#48
Readonly::BEGIN@7	href=Readonly-pm-14-line.html#7
PPI::Token::Symbol::CORE:match	href=PPI-Token-Symbol-pm-88-line.html#PPI__Token__Symbol__CORE_match
PPI::Token::BEGIN@42	href=PPI-Token-pm-58-line.html#42
PPIx::Regexp::Token::GroupType::Modifier::BEGIN@35	href=PPIx-Regexp-Token-GroupType-Modifier-pm-909-line.html#35
PPI::Token::BEGIN@54	href=PPI-Token-pm-58-line.html#54
Perl::Tidy::BEGIN@79	href=Perl-Tidy-pm-735-line.html#79
Perl::Critic::Policy::Subroutines::ProhibitNestedSubs::BEGIN@12	href=Perl-ProhibitNestedSubs-pm-362-line.html#12
Path::FindDev::_build_find_dev	href=Path-FindDev-pm-591-line.html#70
Exporter::Tiny::BEGIN@127	href=Exporter-Tiny-pm-65-line.html#127
Perl::Critic::Annotation::BEGIN@19	href=Perl-Critic-Annotation-pm-814-line.html#19
Perl::Critic::Policy::ValuesAndExpressions::RequireNumberSeparators::BEGIN@10	href=Perl-RequireNumberSeparators-pm-319-line.html#10
Perl::Critic::Command::CORE:print	href=Perl-Critic-Command-pm-4-line.html#Perl__Critic__Command__CORE_print
Perl::Tidy::VerticalAligner::Line::BEGIN@19380	href=Perl-Tidy-pm-735-line.html#19380
Perl::Critic::Policy::RegularExpressions::ProhibitComplexRegexes::BEGIN@14	href=Perl-ProhibitComplexRegexes-pm-386-line.html#14
Perl::Critic::Utils::PPI::BEGIN@11	href=Perl-Critic-Utils-PPI-pm-135-line.html#11
Readonly::Hash::TIEHASH	href=Readonly-Hash-pm-17-line.html#4
PPI::Token::BEGIN@43	href=PPI-Token-pm-58-line.html#43
Perl::Tidy::VerticalAligner::BEGIN@19600	href=Perl-Tidy-pm-735-line.html#19600
Perl::Critic::OptionsProcessor::BEGIN@10	href=Perl-Critic-OptionsProcessor-pm-804-line.html#10
PPI::Token::Number::Octal::BEGIN@30	href=PPI-Token-Number-Octal-pm-81-line.html#30
Perl::Critic::Policy::Variables::ProhibitConditionalDeclarations::BEGIN@12	href=Perl-ProhibitConditionalDeclarations-pm-216-line.html#12
PPI::Statement::Compound::CORE:match	href=PPI-Statement-Compound-pm-431-line.html#PPI__Statement__Compound__CORE_match
PPI::Statement::BEGIN@152	href=PPI-Statement-pm-429-line.html#152
PPI::Token::Number::Float::BEGIN@32	href=PPI-Token-Number-Float-pm-83-line.html#32
PPI::Token::Number::Version::BEGIN@34	href=PPI-Token-Number-Version-pm-85-line.html#34
Perl::Critic::Policy::Miscellanea::ProhibitUnrestrictedNoCritic::BEGIN@12	href=Perl-ProhibitUnrestrictedNoCritic-pm-511-line.html#12
Perl::Critic::Policy::BuiltinFunctions::ProhibitUniversalIsa::BEGIN@12	href=Perl-ProhibitUniversalIsa-pm-781-line.html#12
Perl::Critic::Policy::InputOutput::RequireCheckedClose::BEGIN@12	href=Perl-RequireCheckedClose-pm-547-line.html#12
Perl::Critic::PolicyParameter::BEGIN@24	href=Perl-Critic-PolicyParameter-pm-203-line.html#24
Perl::Critic::Policy::ControlStructures::ProhibitNegativeExpressionsInUnlessAndUntilConditions::BEGIN@16	href=TOOLONG-696-line.html#16
Perl::Critic::Document::BEGIN@16	href=Perl-Critic-Document-pm-808-line.html#16
PPI::Statement::Null::BEGIN@43	href=PPI-Statement-Null-pm-437-line.html#43
Role::Tiny::BEGIN@432	href=Role-Tiny-pm-621-line.html#432
Perl::Critic::PolicyFactory::BEGIN@17	href=Perl-Critic-PolicyFactory-pm-172-line.html#17
Exporter::Heavy::BEGIN@4	href=Exporter-Heavy-pm-13-line.html#4
PPI::Token::Quote::Double::BEGIN@37	href=PPI-Token-Quote-Double-pm-92-line.html#37
Params::Util::BEGIN@65	href=Params-Util-pm-59-line.html#65
Getopt::Long::BEGIN@227	href=Getopt-Long-pm-19-line.html#227
PPI::Token::ArrayIndex::BEGIN@29	href=PPI-Token-ArrayIndex-pm-89-line.html#29
Perl::Critic::Policy::Modules::RequireEndWithOne::BEGIN@16	href=Perl-Critic-Policy-Modules-RequireEndWithOne-pm-490-line.html#16
PPI::Document::BEGIN@66	href=PPI-Document-pm-456-line.html#66
Perl::Critic::Policy::CodeLayout::RequireConsistentNewlines::BEGIN@13	href=Perl-RequireConsistentNewlines-pm-731-line.html#13
Perl::Critic::Policy::RegularExpressions::ProhibitSingleCharAlternation::BEGIN@12	href=Perl-ProhibitSingleCharAlternation-pm-398-line.html#12
PPIx::Regexp::Token::Control::BEGIN@39	href=PPIx-Regexp-Token-Control-pm-889-line.html#39
Exception::Class::BEGIN@76	href=Exception-Class-pm-121-line.html#76
Perl::Critic::Policy::ValuesAndExpressions::RequireConstantVersion::supported_parameters	href=Perl-RequireConstantVersion-pm-307-line.html#53
PPI::Token::Cast::BEGIN@38	href=PPI-Token-Cast-pm-109-line.html#38
Path::Tiny::_is_root	href=Path-Tiny-pm-600-line.html#72
Path::IsDev::Heuristic::Tool::ModuleBuild::matches	href=Path-IsDev-Heuristic-Tool-ModuleBuild-pm-645-line.html#46
Perl::Critic::Policy::ValuesAndExpressions::ProhibitQuotesAsQuotelikeOperatorDelimiters::BEGIN@10	href=TOOLONG-298-line.html#10
Perl::Critic::Policy::TestingAndDebugging::RequireUseStrict::BEGIN@14	href=Perl-RequireUseStrict-pm-340-line.html#14
PPI::Document::_visual_length	href=PPI-Document-pm-456-line.html#737
PPI::Structure::Constructor::BEGIN@39	href=PPI-Structure-Constructor-pm-449-line.html#39
PPI::Token::Magic::__TOKENIZER__on_char	href=PPI-Token-Magic-pm-90-line.html#113
PPIx::Regexp::Constant::BEGIN@44	href=PPIx-Regexp-Constant-pm-822-line.html#44
Perl::Tidy::HtmlWriter::BEGIN@2	href=(eval 344)[Perl-Tidy-pm-4539]-740-line.html#2
Path::IsDev::Heuristic::Makefile::BEGIN@27	href=Path-IsDev-Heuristic-Makefile-pm-654-line.html#27
Perl::Critic::Policy::InputOutput::ProhibitReadlineInForLoop::BEGIN@11	href=Perl-ProhibitReadlineInForLoop-pm-535-line.html#11
Role::Tiny::BEGIN@290	href=Role-Tiny-pm-621-line.html#290
Readonly::Hash	href=Readonly-pm-14-line.html#148
Pod::Simple::BEGIN@148	href=Pod-Simple-pm-43-line.html#148
PPI::Lexer::_square	href=PPI-Lexer-pm-465-line.html#1020
Carp::BEGIN@131	href=Carp-pm-26-line.html#131
